db-1  | 2025-07-28 16:54:02 74 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:54:12 75 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:54:22 76 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:54:32 77 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:54:42 78 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:54:52 79 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:02 80 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:12 81 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:22 82 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:32 83 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:43 84 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:55:53 85 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:56:03 86 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:56:13 87 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:56:23 88 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:56:33 89 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:56:50 90 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:00 95 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:10 96 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:20 97 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:30 98 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:40 99 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:57:50 100 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:00 101 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:10 102 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:20 103 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:31 104 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:41 105 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:58:51 106 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:59:01 107 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:59:11 108 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:59:21 109 [Warning] Access denied for user 'root'@'localhost' (using password: NO)
db-1  | 2025-07-28 16:59:24 54 [Warning] Aborted connection 54 to db: 'dmoj' user: 'dmoj' host: '172.20.0.4' (Got an error reading communication packets)
db-1  | 2025-07-28 16:59:24 55 [Warning] Aborted connection 55 to db: 'dmoj' user: 'dmoj' host: '172.20.0.4' (Got an error reading communication packets)
